feature,n_cell_types_total,n_cell_types_with_multiple_neurons,n_cell_types_used_for_cv,median_within_type_cv,mean_within_type_cv,max_within_type_cv
outgoing_edges,65,43,43,0.15787666950835913,0.3199275743756685,1.022022727214399
outgoing_synapses,65,43,43,0.29569155763832056,0.4117586448153887,1.2293918229819665
outgoing_mean_synapses,65,43,43,0.1120782096103111,0.16071673485354407,0.5577934641621007
outgoing_median_synapses,65,43,43,0.20203050891044216,0.18704130129654956,0.565685424949238
outgoing_max_synapses,65,43,43,0.25082455232116513,0.3029687585500786,0.8290217434600902
outgoing_synapse_sd,65,43,43,0.13377939345026893,0.19372386864717903,0.7106537674626431
incoming_edges,65,43,43,0.12570787221094176,0.1540084964590058,0.620128715570772
incoming_synapses,65,43,43,0.2306015027452941,0.27088629140134035,0.9982388449148633
incoming_mean_synapses,65,43,43,0.12711623034685945,0.18908780629244015,0.6539107354143685
incoming_median_synapses,65,43,43,0.15713484026367724,0.18060353958064954,0.9428090415820635
incoming_max_synapses,65,43,43,0.2941404342169269,0.3115386898495435,1.0122064549773653
incoming_synapse_sd,65,43,43,0.1705194916669341,0.2525382111488546,0.9384981162464588
total_edges,65,43,43,0.14119948926845435,0.2408552784545775,0.8388690692918359
total_synapses,65,43,43,0.2629867321625028,0.32671381530255694,1.1408919068637895
outgoing_incoming_edge_ratio,65,43,43,0.10680603385214511,0.25011796451997254,0.6795857025910227
outgoing_incoming_synapse_ratio,65,43,43,0.28227847711460885,0.31286941963164294,0.7787676178264783
