feature,coefficient,absolute_coefficient
outgoing_mean_synapses,-2.240662126789344,2.240662126789344
outgoing_median_synapses,-1.5595786840979802,1.5595786840979802
incoming_max_synapses,1.1438061389927618,1.1438061389927618
outgoing_synapse_sd,-0.9914245117644981,0.9914245117644981
outgoing_incoming_edge_ratio,0.7985737974987221,0.7985737974987221
outgoing_incoming_synapse_ratio,-0.7509426788292094,0.7509426788292094
outgoing_synapses,-0.5617663037857527,0.5617663037857527
incoming_synapse_sd,0.4552558573716622,0.4552558573716622
incoming_edges,-0.3109315931120092,0.3109315931120092
incoming_mean_synapses,-0.2991475974746319,0.2991475974746319
total_synapses,-0.2782976115022137,0.2782976115022137
total_edges,-0.22713497620192813,0.22713497620192813
incoming_synapses,0.2208673303744803,0.2208673303744803
outgoing_edges,-0.1726440202451107,0.1726440202451107
incoming_median_synapses,-0.09138634468441516,0.09138634468441516
outgoing_max_synapses,0.07145977870208338,0.07145977870208338
