fold,feature,coefficient,absolute_coefficient
1,outgoing_edges,-0.4970315423618822,0.4970315423618822
1,outgoing_synapses,-0.5911474773628542,0.5911474773628542
1,outgoing_mean_synapses,-1.9898520617236906,1.9898520617236906
1,outgoing_median_synapses,-1.5584308548838202,1.5584308548838202
1,outgoing_max_synapses,0.01233898440441469,0.01233898440441469
1,outgoing_synapse_sd,-0.7363459577331547,0.7363459577331547
1,incoming_edges,-0.5756613778757509,0.5756613778757509
1,incoming_synapses,0.18238003280948784,0.18238003280948784
1,incoming_mean_synapses,0.07315291223069673,0.07315291223069673
1,incoming_median_synapses,-0.6354382267217638,0.6354382267217638
1,incoming_max_synapses,1.7299850595954163,1.7299850595954163
1,incoming_synapse_sd,0.30159782702311355,0.30159782702311355
1,total_edges,-0.5442702333375142,0.5442702333375142
1,total_synapses,-0.3130154211878451,0.3130154211878451
1,outgoing_incoming_edge_ratio,0.760507998909858,0.760507998909858
1,outgoing_incoming_synapse_ratio,-0.4674927029980362,0.4674927029980362
2,outgoing_edges,-0.2294389086286479,0.2294389086286479
2,outgoing_synapses,-0.553546647515915,0.553546647515915
2,outgoing_mean_synapses,-2.1486702937845807,2.1486702937845807
2,outgoing_median_synapses,-1.5606086110513233,1.5606086110513233
2,outgoing_max_synapses,0.15953123231916014,0.15953123231916014
2,outgoing_synapse_sd,-0.6105312569407265,0.6105312569407265
2,incoming_edges,-0.3377376126195794,0.3377376126195794
2,incoming_synapses,-0.05188109333415921,0.05188109333415921
2,incoming_mean_synapses,-0.744967000228273,0.744967000228273
2,incoming_median_synapses,0.4672667291609532,0.4672667291609532
2,incoming_max_synapses,1.5948575859989391,1.5948575859989391
2,incoming_synapse_sd,0.30829441694542886,0.30829441694542886
2,total_edges,-0.27863206910584887,0.27863206910584887
2,total_synapses,-0.3715653283173289,0.3715653283173289
2,outgoing_incoming_edge_ratio,0.8461211979192776,0.8461211979192776
2,outgoing_incoming_synapse_ratio,-0.3261270283644979,0.3261270283644979
3,outgoing_edges,-0.19745220065032104,0.19745220065032104
3,outgoing_synapses,-0.49265716712418783,0.49265716712418783
3,outgoing_mean_synapses,-2.0259223319719113,2.0259223319719113
3,outgoing_median_synapses,-1.4266145309909577,1.4266145309909577
3,outgoing_max_synapses,-0.1282983662596072,0.1282983662596072
3,outgoing_synapse_sd,-0.5611151964007841,0.5611151964007841
3,incoming_edges,-0.6983824214765251,0.6983824214765251
3,incoming_synapses,-0.13639186034468256,0.13639186034468256
3,incoming_mean_synapses,-0.47780870564006006,0.47780870564006006
3,incoming_median_synapses,0.09842320052354842,0.09842320052354842
3,incoming_max_synapses,1.1971703756498675,1.1971703756498675
3,incoming_synapse_sd,0.5634943357293987,0.5634943357293987
3,total_edges,-0.3870045905927883,0.3870045905927883
3,total_synapses,-0.3665787369519488,0.3665787369519488
3,outgoing_incoming_edge_ratio,0.8301856616290666,0.8301856616290666
3,outgoing_incoming_synapse_ratio,-0.5616034002381741,0.5616034002381741
4,outgoing_edges,0.09734660265107582,0.09734660265107582
4,outgoing_synapses,-0.5328573971897743,0.5328573971897743
4,outgoing_mean_synapses,-2.1101403043429015,2.1101403043429015
4,outgoing_median_synapses,-1.5260396165161214,1.5260396165161214
4,outgoing_max_synapses,-0.0013807763202392876,0.0013807763202392876
4,outgoing_synapse_sd,-0.5985516613216527,0.5985516613216527
4,incoming_edges,-0.49665826419150616,0.49665826419150616
4,incoming_synapses,-0.12946289686913476,0.12946289686913476
4,incoming_mean_synapses,-0.5676884988141551,0.5676884988141551
4,incoming_median_synapses,-0.08564905058812085,0.08564905058812085
4,incoming_max_synapses,1.3232991307090722,1.3232991307090722
4,incoming_synapse_sd,0.48111526779891994,0.48111526779891994
4,total_edges,-0.09828606634034107,0.09828606634034107
4,total_synapses,-0.3950519216267615,0.3950519216267615
4,outgoing_incoming_edge_ratio,0.9100045523771207,0.9100045523771207
4,outgoing_incoming_synapse_ratio,-0.8635394560942312,0.8635394560942312
5,outgoing_edges,-0.1754473052200082,0.1754473052200082
5,outgoing_synapses,-0.626151432836632,0.626151432836632
5,outgoing_mean_synapses,-2.215542201325497,2.215542201325497
5,outgoing_median_synapses,-1.535018474898032,1.535018474898032
5,outgoing_max_synapses,0.209228396397668,0.209228396397668
5,outgoing_synapse_sd,-0.6200153443385009,0.6200153443385009
5,incoming_edges,-0.211620061989619,0.211620061989619
5,incoming_synapses,0.12979949124342363,0.12979949124342363
5,incoming_mean_synapses,-0.42251020829741426,0.42251020829741426
5,incoming_median_synapses,-0.21245795521183347,0.21245795521183347
5,incoming_max_synapses,1.1861628544329057,1.1861628544329057
5,incoming_synapse_sd,0.5814478660795782,0.5814478660795782
5,total_edges,-0.19491889562608686,0.19491889562608686
5,total_synapses,-0.3658402414615571,0.3658402414615571
5,outgoing_incoming_edge_ratio,0.9393258585746549,0.9393258585746549
5,outgoing_incoming_synapse_ratio,-0.373223761971414,0.373223761971414
