PC1,PC2,neurotransmitter,cell_type,bodyId
0.12537621079666122,-1.5805126610465885,acetylcholine,DA1_lPN,722817260
0.2663883092504873,-2.0307970141588414,acetylcholine,DA1_lPN,754534424
-0.02945450450993638,-2.003204741321729,acetylcholine,DA1_lPN,754538881
-0.6213031121312488,-1.4570991550342653,acetylcholine,DA1_lPN,1734350788
0.21586302270340296,-1.465543825725445,acetylcholine,DA1_lPN,1734350908
0.08366750401321524,-1.7337669990261746,acetylcholine,DA1_lPN,1765040289
0.011715708137137513,-1.5250787694208154,acetylcholine,DA1_lPN,5813039315
-0.9047883465090458,-1.1070911550627398,gaba,DA1_vPN,733316908
-2.7903910878391254,1.1986109196518857,acetylcholine,DA2_lPN,818983130
-3.0246614722488223,1.454816764747787,acetylcholine,DA2_lPN,1796817841
-2.403771665849929,1.2372272735241232,acetylcholine,DA2_lPN,1796818119
-3.2152285052807,1.68690328152625,acetylcholine,DA2_lPN,1797505019
-2.9526289311306133,1.4184805262817486,acetylcholine,DA2_lPN,1827516355
-2.4477927710430762,0.12157158825976784,acetylcholine,DA3_adPN,666135689
-3.2579133345101075,-1.6481070342611297,acetylcholine,DA3_adPN,1702806746
-3.518149645613447,-1.6591359014661167,acetylcholine,DA3_adPN,1702815630
-2.3498638993503422,0.28369180939745087,acetylcholine,DA3_adPN,1703683361
0.4193484184565484,1.441169003019075,acetylcholine,DA4l_adPN,544021095
0.6598655427958251,1.0146465568139187,acetylcholine,DA4m_adPN,574037266
8.79602980527826,1.8235708807327478,acetylcholine,DC1_adPN,1640594274
-0.7323794776835203,-1.083252814076027,acetylcholine,DC2_adPN,1380503545
-0.06621143331472487,-0.8576341643282022,acetylcholine,DC2_adPN,1703479954
1.860791925912031,0.6455183346172383,acetylcholine,DC2_adPN,1828206773
-2.873473974710593,-1.180089825707729,acetylcholine,DC2_adPN,1889335463
1.5153320439728748,0.551872260022014,acetylcholine,DC2_adPN,5813055048
0.28180676681320155,-0.004850477793076494,acetylcholine,DC3_adPN,1857825571
0.29826332027516,0.03707303229679303,acetylcholine,DC3_adPN,1858171399
1.2150336983369847,0.07054015039211763,acetylcholine,DC3_adPN,5813039471
0.38035166123501213,-1.5551167035020352,acetylcholine,DC4_adPN,5813049472
2.7759583609946503,0.7555319683914231,acetylcholine,DC4_adPN,5813056596
-4.3665923817716115,-0.46083804996402067,gaba,DC4_vPN,697848868
-4.159996910457607,-0.7349904815435635,gaba,DC4_vPN,1447201088
-2.4716765292449945,-0.8284691295353419,acetylcholine,DL1_adPN,1484850301
-3.1271779102301562,-0.8604885023831003,acetylcholine,DL1_adPN,1670079387
3.239967602069762,-0.02577860160045338,acetylcholine,DL1_adPN,1700937093
3.453494153019233,-0.3853261775698199,acetylcholine,DL1_adPN,1700946301
0.5328056066888146,0.06429428001877116,acetylcholine,DL2d_adPN,788648194
-1.212878165592674,-0.5056913228839265,acetylcholine,DL2d_adPN,1756579280
0.46327263097463606,-0.38372347738296114,acetylcholine,DL2d_adPN,1793014716
-2.407209803621523,-0.4288957293303775,acetylcholine,DL2d_adPN,1793351401
-0.21202843425110443,-0.5241499262093583,acetylcholine,DL2d_adPN,5813024710
-4.126154572656678,1.4067078292415491,gaba,DL2d_vPN,823314446
-0.8416818140944281,-0.7629018948207386,acetylcholine,DL2v_adPN,1734420152
0.7690142455774742,-0.14750814460307457,acetylcholine,DL2v_adPN,5813038793
0.9450447574312207,-0.6616894450009394,acetylcholine,DL2v_adPN,5813039465
1.8855294749653981,-0.5972913964530714,acetylcholine,DL3_lPN,1609542060
-1.8496661272238848,-0.6932596047756246,acetylcholine,DL3_lPN,1609883245
-2.1425455075866253,-0.9373146431227489,acetylcholine,DL3_lPN,1640568102
1.1455556137649108,-0.021262080395988064,acetylcholine,DL4_adPN,1670934213
-1.4861221108564826,-1.6653278690675464,acetylcholine,DL4_adPN,1671102680
5.3183510652437445,1.12529741733587,acetylcholine,DL5_adPN,693483018
-2.609718198341829,-1.2702719424832203,acetylcholine,DL5_adPN,1700428338
11.766719546964977,1.0693597860023116,acetylcholine,DM1_lPN,542634818
5.414047834681186,-1.8173846502665147,acetylcholine,DM1_lPN,5813061392
2.7368755723005025,0.30887903361132907,acetylcholine,DM2_lPN,630714299
-0.32223459387658404,-1.794128368316229,acetylcholine,DM2_lPN,5813050013
1.2884318478813706,-1.1744998977822747,acetylcholine,DM2_lPN,5813054061
2.466409712586826,0.4997140399506543,acetylcholine,DM2_lPN,5901222910
4.247093353701553,1.1437037836788784,acetylcholine,DM3_adPN,755518957
1.6937829573424612,-4.3509205419788906,acetylcholine,DM3_adPN,850898421
-4.068974842507703,-0.18090208492273588,gaba,DM3_vPN,1570685283
8.44817513759778,1.3785842309699528,acetylcholine,DM4_adPN,573333835
1.722009518271024,-1.5080362938398297,acetylcholine,DM4_adPN,851235543
-4.631986871037578,1.3609350932351987,gaba,DM4_vPN,542652506
-3.589724242006264,0.9479217815740053,gaba,DM4_vPN,604031203
-1.8843865797014105,2.219017292875311,acetylcholine,DM5_lPN,635416407
-2.193602858828819,2.598679054129286,acetylcholine,DM5_lPN,697485362
-2.267967526406419,-1.751286530103796,acetylcholine,DM5_lPN,5901195610
-0.5993395012872177,-0.03507610690283892,acetylcholine,DM6_adPN,788306624
-1.5714819812458225,-2.263861084275316,acetylcholine,DM6_adPN,881933350
-1.617852649768318,-2.4021628706043527,acetylcholine,DM6_adPN,882615309
-1.8476526866216019,-2.362831436864474,acetylcholine,DM6_adPN,913649999
-0.469610673935828,-0.5238572373478484,acetylcholine,DM6_adPN,1764091241
-0.5452336641788602,0.038454249570566604,acetylcholine,DM6_adPN,5813039235
-0.8062207750840714,0.24287664200639478,acetylcholine,DM6_adPN,5813070872
10.13895719525145,1.1729961080744828,acetylcholine,DP1l_adPN,724816115
-4.40435815284741,0.7314939410114495,gaba,DP1l_vPN,730213826
14.949573433417061,0.9749733693259425,acetylcholine,DP1m_adPN,635062078
5.345116659959888,-2.1191256377825685,acetylcholine,DP1m_adPN,1006068474
-3.874067282522508,0.6281675639658227,gaba,DP1m_vPN,635048729
0.48246025865240677,0.05224497434943675,acetylcholine,D_adPN,1536947502
-0.6950408902992139,-1.6352540706307181,acetylcholine,D_adPN,1671076884
-0.5272307739716763,-1.5754238941716177,acetylcholine,D_adPN,5812994744
0.546748984328472,-0.09401615781349125,acetylcholine,D_adPN,5813038889
0.5194638872846233,-0.10069477952939349,acetylcholine,D_adPN,5813055184
-4.443330144250029,1.8944887055707835,gaba,DM3_vPN,603349484
