model,accuracy,balanced_accuracy,macro_f1,ACh_recall,GABA_recall,balanced_accuracy_gain_vs_dummy,macro_f1_gain_vs_dummy
LogisticRegression,0.9285714285714286,0.9583333333333333,0.8782608695652174,0.9166666666666666,1.0,0.45833333333333326,0.41672240802675586
RandomForest,0.9523809523809523,0.9027777777777778,0.9027777777777778,0.9722222222222222,0.8333333333333334,0.4027777777777778,0.4412393162393162
XGBoost,0.9047619047619048,0.875,0.8285714285714285,0.9166666666666666,0.8333333333333334,0.375,0.36703296703296695
DummyClassifier,0.8571428571428571,0.5,0.46153846153846156,1.0,0.0,0.0,0.0
