model,random_split_accuracy,random_split_balanced_accuracy,random_split_macro_f1,grouped_cv_accuracy,grouped_cv_balanced_accuracy,grouped_cv_macro_f1,balanced_accuracy_change,macro_f1_change
LogisticRegression,0.9285714285714286,0.9583333333333333,0.8782608695652174,0.9395183982683983,0.9219211822660099,0.8822872205766942,-0.03641215106732332,0.0040263510114767476
RandomForest,0.9523809523809523,0.9027777777777778,0.9027777777777778,0.9571969696969698,0.868103448275862,0.8903412095405082,-0.034674329501915735,-0.012436568237269574
XGBoost,0.9047619047619048,0.875,0.8285714285714285,0.9634469696969697,0.914655172413793,0.9196324143692565,0.039655172413793016,0.09106098579782795
DummyClassifier,0.8571428571428571,0.5,0.46153846153846156,0.8615151515151516,0.5,0.462652329749104,0.0,0.0011138682106424103
