model,accuracy,balanced_accuracy,macro_f1,ACh_recall,GABA_recall
DummyClassifier,0.8571428571428571,0.5,0.46153846153846156,1.0,0.0
LogisticRegression,0.9285714285714286,0.9583333333333333,0.8782608695652174,0.9166666666666666,1.0
