analysis,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,balanced_accuracy_change_vs_raw
Raw features,0.9219211822660099,0.07591068471353421,0.8822872205766942,0.07343208880805138,0.0
Log1p transformed connectivity,0.9113300492610836,0.06880727138537744,0.8783382991277728,0.07460229972922285,-0.010591133004926312
