fold,feature,permutation_importance_mean,permutation_importance_sd
1,outgoing_edges,-0.0011494252873563168,0.004300755616981524
1,outgoing_synapses,0.0012931034482758675,0.02425949479264013
1,outgoing_mean_synapses,0.07801724137931038,0.08231404474298455
1,outgoing_median_synapses,0.04367816091954026,0.06238081514824823
1,outgoing_max_synapses,0.0,0.0
1,outgoing_synapse_sd,-0.008620689655172382,0.009702266101226488
1,incoming_edges,-0.0005747126436781473,0.00830852430735686
1,incoming_synapses,0.0005747126436781621,0.00309492230295087
1,incoming_mean_synapses,0.0,0.0
1,incoming_median_synapses,0.0022988505747126484,0.005860941969646891
1,incoming_max_synapses,0.07571839080459772,0.10183538708566928
1,incoming_synapse_sd,0.0017241379310344862,0.005172413793103459
1,total_edges,-0.0011494252873563168,0.004300755616981524
1,total_synapses,-0.0005747126436781584,0.0030949223029508506
1,outgoing_incoming_edge_ratio,0.008045977011494268,0.011551581173702197
1,outgoing_incoming_synapse_ratio,-0.0011494252873563168,0.004300755616981524
2,outgoing_edges,0.019540229885057495,0.04352855503818743
2,outgoing_synapses,0.055316091954023004,0.07638018062519338
2,outgoing_mean_synapses,0.39339080459770126,0.10738402322958904
2,outgoing_median_synapses,0.2583333333333334,0.1261487707154489
2,outgoing_max_synapses,0.007471264367816155,0.008543717670872777
2,outgoing_synapse_sd,0.09683908045977016,0.07859129735588995
2,incoming_edges,0.03505747126436783,0.057050181534383335
2,incoming_synapses,0.0,0.0
2,incoming_mean_synapses,0.10603448275862079,0.11174577624998032
2,incoming_median_synapses,0.01149425287356327,0.042805483527261344
2,incoming_max_synapses,0.06853448275862078,0.06569423687524419
2,incoming_synapse_sd,0.00804597701149432,0.008601511233963155
2,total_edges,0.022557471264367832,0.047631206512073004
2,total_synapses,0.02729885057471267,0.0508222780906532
2,outgoing_incoming_edge_ratio,0.0918103448275863,0.06977923329421172
2,outgoing_incoming_synapse_ratio,0.008333333333333333,0.03118047822311618
3,outgoing_edges,-0.0029761904761904656,0.00665496421874935
3,outgoing_synapses,-0.0071428571428571175,0.008748177652797035
3,outgoing_mean_synapses,0.10952380952380956,0.12574043739534185
3,outgoing_median_synapses,0.08809523809523813,0.08285577448240627
3,outgoing_max_synapses,0.0,0.0
3,outgoing_synapse_sd,-0.021428571428571398,0.03950157148342156
3,incoming_edges,-0.08749999999999995,0.06277151906272603
3,incoming_synapses,-0.0011904761904761862,0.004454354031873725
3,incoming_mean_synapses,-0.017857142857142825,0.03227486121839514
3,incoming_median_synapses,-0.00714285714285714,0.03181045051401759
3,incoming_max_synapses,0.06785714285714294,0.039769745448785865
3,incoming_synapse_sd,0.016071428571428646,0.04687287410145245
3,total_edges,-0.03869047619047616,0.05358796041214656
3,total_synapses,-0.0071428571428571175,0.008748177652797033
3,outgoing_incoming_edge_ratio,-0.016071428571428497,0.06591035707738223
3,outgoing_incoming_synapse_ratio,-0.007738095238095211,0.008848850444832412
4,outgoing_edges,0.007738095238095255,0.011919633568155251
4,outgoing_synapses,-0.013095238095238104,0.02436843986959373
4,outgoing_mean_synapses,0.1928571428571429,0.09774237273860006
4,outgoing_median_synapses,0.030952380952380967,0.05315979419468124
4,outgoing_max_synapses,0.0,0.0
4,outgoing_synapse_sd,-0.01547619047619048,0.02677909971238571
4,incoming_edges,-0.0035714285714285774,0.029666513796136003
4,incoming_synapses,-0.01309523809523812,0.011230929919115012
4,incoming_mean_synapses,-0.005952380952380957,0.027791946499830376
4,incoming_median_synapses,0.0,0.0
4,incoming_max_synapses,0.04345238095238097,0.018259359107354746
4,incoming_synapse_sd,0.031547619047619054,0.01766764533292361
4,total_edges,-0.005357142857142871,0.010463330851932736
4,total_synapses,-0.018452380952380967,0.013429183538902942
4,outgoing_incoming_edge_ratio,0.16845238095238096,0.05209948729079508
4,outgoing_incoming_synapse_ratio,0.036904761904761905,0.027638539919628353
5,outgoing_edges,-0.005357142857142823,0.012328759034052351
5,outgoing_synapses,0.014880952380952417,0.05073510080323817
5,outgoing_mean_synapses,0.2654761904761906,0.12291918883610885
5,outgoing_median_synapses,0.17023809523809533,0.10151209393673004
5,outgoing_max_synapses,0.02023809523809529,0.012821820969367901
5,outgoing_synapse_sd,0.05119047619047623,0.06548701209273841
5,incoming_edges,0.004166666666666689,0.01099177697179726
5,incoming_synapses,0.01309523809523813,0.012140522651411424
5,incoming_mean_synapses,0.02023809523809526,0.04960158727618967
5,incoming_median_synapses,-0.006547619047619024,0.008605257318333875
5,incoming_max_synapses,0.0714285714285715,0.0284222294912222
5,incoming_synapse_sd,0.04285714285714291,0.01878539742626131
5,total_edges,-0.00476190476190473,0.012140522651411377
5,total_synapses,0.00773809523809527,0.04089853187214733
5,outgoing_incoming_edge_ratio,0.05416666666666673,0.01754690830117105
5,outgoing_incoming_synapse_ratio,0.01428571428571431,0.03431794120333233
