synapse_threshold,n_edges_retained,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,ACh_recall_mean,GABA_recall_mean,balanced_accuracy_change_vs_threshold1
1,104566,0.9219211822660099,0.07591068471353421,0.8822872205766942,0.07343208880805138,0.9438423645320198,0.9,0.0
2,68496,0.9467980295566502,0.07284329206498238,0.8962203345222213,0.10352717445735038,0.9435960591133006,0.95,0.024876847290640214
3,54557,0.939655172413793,0.07244975607435182,0.878898397200284,0.11338600943445641,0.9293103448275861,0.95,0.017733990147783096
5,41411,0.8437192118226602,0.0454944677583686,0.7631114922813037,0.06346312214860507,0.8660098522167488,0.8214285714285715,-0.07820197044334976
