fold,accuracy,balanced_accuracy,macro_f1,ACh_recall,GABA_recall,n_validation_neurons,n_validation_cell_types
1,0.8787878787878788,0.8232758620689655,0.7642857142857142,0.896551724137931,0.75,33,14
2,0.9696969696969697,0.9827586206896552,0.935672514619883,0.9655172413793104,1.0,33,14
3,0.9375,0.8571428571428572,0.8571428571428572,0.9642857142857143,0.75,32,13
4,0.9428571428571428,0.9642857142857143,0.9189814814814814,0.9285714285714286,1.0,35,12
5,0.96875,0.9821428571428572,0.9353535353535354,0.9642857142857143,1.0,32,12
