model,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,ACh_recall_mean,ACh_recall_sd,GABA_recall_mean,GABA_recall_sd
LogisticRegression,0.9395183982683983,0.03697516009646496,0.9219211822660099,0.07591068471353422,0.8822872205766942,0.07343208880805138,0.9438423645320198,0.030721602898630077,0.9,0.13693063937629152
XGBoost,0.9634469696969697,0.06567492580313289,0.914655172413793,0.1325176945087231,0.9196324143692565,0.1392731225720781,0.9793103448275862,0.04626347539654736,0.85,0.22360679774997896
RandomForest,0.9571969696969698,0.05088321176645022,0.868103448275862,0.13423108634817663,0.8903412095405082,0.12350290554745652,0.9862068965517242,0.030842316931031635,0.75,0.25
DummyClassifier,0.8615151515151516,0.034440130509794505,0.5,0.0,0.462652329749104,0.010192706486917459,1.0,0.0,0.0,0.0
