feature_family,n_features,mean_permutation_importance,total_absolute_permutation_importance,mean_absolute_coefficient,relative_permutation_importance
Outgoing connectivity,6,0.06099411603721952,0.3659646962233171,0.8575751045155348,0.6521173019669804
Incoming connectivity,6,0.015892172961138505,0.1165681444991791,0.5334254106711109,0.20771430870401666
Directionality,2,0.03570402298850578,0.07140804597701156,0.6878131619076332,0.12724293562143857
Overall connectivity,2,-0.0018534482758620547,0.007253694581280788,0.3315163504548021,0.012925453707564344
