feature_set,n_features,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,ACh_recall_mean,GABA_recall_mean,balanced_accuracy_change_vs_all
All_features,16,0.9219211822660099,0.07591068471353421,0.8822872205766942,0.07343208880805138,0.9438423645320198,0.9,0.0
Outgoing_only,6,0.8544334975369458,0.12240738131308586,0.7669964374015429,0.1050615051522577,0.8588669950738916,0.85,-0.06748768472906419
Incoming_only,6,0.8080049261083744,0.08324590263354181,0.7192130092130092,0.06534136563744944,0.8160098522167487,0.8,-0.11391625615763556
Overall_only,2,0.7901477832512316,0.11044453485871199,0.6858386413107542,0.07527122349545108,0.7802955665024631,0.8,-0.13177339901477836
Directionality_only,2,0.44827586206896547,0.04431358953281299,0.4352715369778827,0.043745159451542504,0.696551724137931,0.2,-0.4736453201970445
Outgoing_plus_incoming,12,0.9113300492610839,0.07752387244960492,0.8494721944721946,0.09466849857246487,0.9226600985221675,0.9,-0.01059113300492609
Counts_only,6,0.8112068965517242,0.125964363440992,0.7291699335553066,0.10025792177160114,0.8224137931034482,0.8,-0.11071428571428577
