permutation,balanced_accuracy,macro_f1
1,0.5381318561963723,0.4950270764432254
2,0.3794411298749452,0.34588147042361816
3,0.31566229583620886,0.29718202960308227
4,0.5872122758385272,0.5199433078575484
5,0.4412246117084827,0.4313972650698868
6,0.6061877625517176,0.5426483531275562
7,0.33396399652978603,0.32412213277896773
8,0.5068245341614908,0.44073159955512897
9,0.44226042825361517,0.3933106045701954
10,0.5134419972042477,0.422244336186932
11,0.4150374755018804,0.4246305414496961
12,0.5112857629743057,0.4899885679870687
13,0.53389108476065,0.4811058218159059
14,0.4161447811447812,0.3710827067669173
15,0.4283942429706805,0.41886136272690894
16,0.5105474506336576,0.39421229544449354
17,0.5158910041571332,0.4639349823237291
18,0.7557515473032714,0.6904785630661641
19,0.5949188704519921,0.5472215956971824
20,0.43713744588744585,0.4129314945338593
21,0.4843056835637481,0.4680170031434134
22,0.39635892320096994,0.3971204480106869
23,0.48562511671335196,0.4092774161322549
24,0.5355914918414919,0.4205462797864068
25,0.3775068322482116,0.3540177464757102
26,0.5700864426967367,0.5064314651107104
27,0.5478213767646853,0.45292955663024836
28,0.32434937445807005,0.34399214775299114
29,0.5112557603686636,0.47715351199581485
30,0.3549107142857143,0.35385125882029905
31,0.5190671331001167,0.4781191075464002
32,0.6122388265180027,0.5977943992288883
33,0.5680874840357599,0.46099866590432625
34,0.5649483618233617,0.48619864275762037
35,0.5341143267651888,0.44375917468774606
36,0.5296496477378831,0.44434723056023273
37,0.5666080586080586,0.4994611545110697
38,0.602682769726248,0.534983149288084
39,0.6268662818662818,0.5477871931381249
40,0.4722335901646246,0.41821006071253664
41,0.4158592303753593,0.4297856865532417
42,0.48487594206559714,0.4694492060799339
43,0.5670911033411035,0.5166566549740801
44,0.49990800865800866,0.4103413397341291
45,0.4186299184686281,0.39591729637392303
46,0.48002873563218385,0.4477302248077071
47,0.28118514169488684,0.3102371953485421
48,0.5856053142260038,0.5287172052614977
49,0.6409932950191571,0.5228869835487189
50,0.5197733236359487,0.4038587245377527
51,0.7113335336939824,0.6174994764522501
52,0.4021638527738872,0.3569646464646465
53,0.5303124617318166,0.4811447965544075
54,0.4694185645272603,0.4632845906245902
55,0.5122146425866934,0.45423350877042223
56,0.5542974037456796,0.48450319988135115
57,0.5210781557801193,0.4991501269585288
58,0.4900483839276942,0.45691910743820996
59,0.44664315569487983,0.39913682406486223
60,0.5659589947089947,0.48594796380090494
61,0.36236527286884457,0.38061729830726787
62,0.7740965189797226,0.6638804406352767
63,0.48391254372813586,0.4293932814040229
64,0.41564213564213565,0.3553258557496268
65,0.4540614943972475,0.41648079668794935
66,0.4194358178053831,0.3384244379028359
67,0.43477818477818475,0.3916629495837287
68,0.40437371058060717,0.3750843109594041
69,0.432990274474965,0.42535011737488515
70,0.4458968450903935,0.43133800934608046
71,0.49146272007562325,0.42618370984757536
72,0.5769442190669372,0.5050769666455797
73,0.3637921524737794,0.3718412402360645
74,0.6248442181682013,0.5198029214083111
75,0.3568124698155124,0.34534409764296803
76,0.39826839826839827,0.394572449699626
77,0.4181728539223796,0.4033467581293668
78,0.26475112731117856,0.2851782945736434
79,0.35627504105090313,0.34585652098811615
80,0.42687782805429864,0.3890792015835644
81,0.49080133807608783,0.4940555053588974
82,0.44249576945701297,0.43866091605813357
83,0.6796880538816022,0.577041533345881
84,0.48565259302101405,0.42280919857815213
85,0.6451551226551226,0.5012938762938763
86,0.44693959297407576,0.4292002600783739
87,0.4288782513782513,0.38352034804594537
88,0.4706084656084656,0.4432829371885976
89,0.4828245126520988,0.4760041664568287
90,0.35183238804206546,0.37267512655155677
91,0.4076923076923077,0.3764326783344917
92,0.4730920570657413,0.40629675638371293
93,0.4947637292464879,0.46479700213004566
94,0.43850574712643675,0.4307697138291961
95,0.3116154819415689,0.3194518448805089
96,0.5136677841634738,0.4651358597806106
97,0.5257605357605358,0.47821883230617834
98,0.33749730709763914,0.3634469423737259
99,0.42636991249491246,0.4274720993292422
100,0.5486036787286788,0.4710664260434081
